Id;Codigo;Nombre;Pais;Status
1;91;Amazonas;169;1
2;5;Antioquia;169;1
3;81;Arauca;169;1
4;8;Atlantico;169;1
5;11;Bogota  D.C.;169;1
6;13;Bolivar;169;1
7;15;Boyaca;169;1
8;17;Caldas;169;1
9;18;Caqueta;169;1
10;85;Casanare;169;1
11;19;Cauca;169;1
12;20;Cesar;169;1
13;27;Choco;169;1
14;23;Cordoba;169;1
15;25;Cundinamarca;169;1
16;94;Guainia;169;1
17;95;Guaviare;169;1
18;41;Huila;169;1
19;44;La Guajira;169;1
20;47;Magdalena;169;1
21;50;Meta;169;1
22;52;Nari¤o;169;1
23;54;Norte de Santander;169;1
24;86;Putumayo;169;1
25;63;Quindio;169;1
26;66;Risaralda;169;1
27;88;San Andres;169;1
28;68;Santander;169;1
29;70;Sucre;169;1
30;73;Tolima;169;1
31;76;Valle del Cauca;169;1
32;97;Vaupes;169;1
33;99;Vichada;169;1
